"","author","title_freq","lang_freq","place_freq"
"1","Courths-Mahler, Hedwig",374,9,18
"2","Jelinek, Elfriede",268,38,72
"3","Link, Charlotte",237,24,40
"4","MÃ¼ller, Herta",198,38,60
"5","Lark, Sarah",181,21,28
"6","Wolf, Christa",154,33,51
"7","Neuhaus, Nele",141,25,37
"8","Bachmann, Ingeborg",108,32,48
"9","Zeh, Juli",99,31,41
"10","Bomann, Corina",88,15,21
"11","Noll, Ingrid",86,21,27
"12","Birkner, Friede",74,3,3
"13","Hauptmann, Gaby",74,23,26
"14","Erpenbeck, Jenny",73,26,35
"15","Hermann, Judith",63,26,36
"16","Peetz, Monika",62,20,25
"17","Lorentz, Iny",60,9,11
"18","Franck, Julia",54,28,30
"19","Hammesfahr, Petra",54,17,25
"20","Taylor, Kathryn",54,12,16
